"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"12/25/2016","7-Eleven","7-ELEVEN 36530","11.98","debit","Fast Food","Freedom Unlimited","",""
"12/25/2016","The Point","THE POINT AT PALACIOS","4.06","debit","Sporting Goods","Freedom Unlimited","",""
"12/25/2016","Wal-Mart","WM SUPERCENTER #330","32.32","debit","Shopping","Freedom Unlimited","",""
"12/25/2016","The Point","THE POINT AT PALACIOS","17.86","debit","Sporting Goods","Freedom Unlimited","",""
"12/25/2016","Canteen Victoria Llc","CANTEEN VICTORIA LLC","1.10","debit","Restaurants","Sapphire Reserve","",""
"12/25/2016","McDonald's","MCDONALD'S F10491","5.19","debit","Fast Food","Sapphire Reserve","",""
"12/23/2016","Chevron","CHEVRON 0301519","33.55","debit","Gas & Fuel","Freedom Unlimited","",""
"12/23/2016","Lowe's","LOWES #02280*","64.94","debit","Home Improvement","Freedom Unlimited","",""
"12/23/2016","RaceTrac","RACETRAC498   00004986","20.43","debit","Gas & Fuel","Freedom Unlimited","",""
"12/23/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"12/22/2016","Square P Ppd","Square Inc       161222P2PPD ID: 9424300002","58.35","credit","Income","Personal Checking","",""
"12/22/2016","Buc Ee","BUC-EE'S 12","27.17","debit","Groceries","Freedom Unlimited","",""
"12/22/2016","Ming Place China Bistro","MING PLACE CHINA BISTRO","17.00","debit","Restaurants","Sapphire Reserve","",""
"12/21/2016","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Doing Data Science: Straight T&lt;br/&gt;SHIPPING AND TAX","23.12","debit","Shopping","XXXXXXXXXX5324","",""
"12/21/2016","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Reproducible Research with R a&lt;br/&gt;The Statistical Sleuth: A Cour&lt;br/&gt;SHIPPING AND TAX","172.87","debit","Shopping","XXXXXXXXXX5324","",""
"12/21/2016","Estilos Salon","ESTILOS SALON","20.00","debit","Personal Care","Freedom Unlimited","",""
"12/21/2016","Snack Corner","SQ *SHON'S SNACK CORNER","5.83","debit","Groceries","Freedom Unlimited","",""
"12/20/2016","Wal-Mart","MURPHY5785ATWALMART","28.50","debit","Shopping","Freedom Unlimited","",""
"12/20/2016","ATM Deposit","ATM CHECK DEPOSIT 12/20 6300 HARRY HINES BLVD DALLAS TX","10545.00","credit","Income","Personal Checking","",""
"12/20/2016","Chase Autopay Ppd","CHASE            AUTOPAYPPD ID: 4760039224","2014.12","debit","Credit Card Payment","Personal Checking","",""
"12/20/2016","Khan Mongos","KHAN MONGOS","58.01","debit","Restaurants","Sapphire Reserve","",""
"12/20/2016","Snack Corner","SQ *SHON'S SNACK CORNER","5.83","debit","Groceries","Sapphire Reserve","",""
"12/19/2016","Credit Card Payment","BANK OF AMERICA CREDIT CARD Bill Payment","25.00","debit","Credit Card Payment","Personal Checking Account","",""
"12/19/2016","Phillips Lowes Fuel","PHILLIPS 66 - LOWES FUEL","8.64","debit","Gas & Fuel","Freedom Unlimited","",""
"12/19/2016","Valero","COLORADO CNTY VALERO","32.71","debit","Gas & Fuel","Freedom Unlimited","",""
"12/19/2016","Transfer from CHASE COLLEGE","AUTOMATIC PAYMENT - THANK","2014.12","credit","Credit Card Payment","Sapphire Reserve","",""
"12/18/2016","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;RicoRich Micro USB/USB 2.0/Typ","9.59","debit","Shopping","XXXXXXXXXX5324","",""
"12/18/2016","Fresh Market","SQ *FRESH MARKET","6.96","debit","Groceries","Sapphire Reserve","",""
"12/18/2016","Time Warner","TWC*TIME WARNER CABLE","41.45","debit","Television","Sapphire Reserve","",""
"12/18/2016","Exxon","EXXONMOBIL    47957121","23.70","debit","Gas & Fuel","Sapphire Reserve","",""
"12/18/2016","Sushi Nini","SUSHI NINI","90.00","debit","Restaurants","Sapphire Reserve","",""
"12/18/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","5.49","debit","Restaurants","Sapphire Reserve","",""
"12/18/2016","AT&T","AT&T*BILL PAYMENT","325.61","debit","Home Phone","Sapphire Reserve","",""
"12/17/2016","Transfer from Personal Checking Account","PAYMENT","25.00","credit","Credit Card Payment","Personal Credit Account","",""
"12/16/2016","Fresh Market","SQ *FRESH MARKET","3.93","debit","Groceries","Sapphire Reserve","",""
"12/15/2016","Square P Ppd","Square Inc       161215P2PPD ID: 9424300002","75.85","credit","Income","Personal Checking","",""
"12/15/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"12/14/2016","Fresh Market","SQ *FRESH MARKET","8.85","debit","Groceries","Sapphire Reserve","",""
"12/14/2016","Meso Maya Downton","MESO MAYA-DOWNTON","17.00","debit","Restaurants","Sapphire Reserve","",""
"12/14/2016","Square P Ppd","Square Inc       161214P2PPD ID: 9424300002","196.93","credit","Income","Personal Checking","",""
"12/13/2016","Bath & Body Works","BATHANDBODYWORKS.COM","28.17","debit","Spa & Massage","Freedom Unlimited","",""
"12/13/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"12/12/2016","Event Parking","AAC EVENT PARKING","30.00","debit","Personal Care","Freedom Unlimited","",""
"12/12/2016","Exxon","EXXONMOBIL    47957121","18.71","debit","Gas & Fuel","Freedom Unlimited","",""
"12/12/2016","McDonald's","MCDONALD'S F1943","7.01","debit","Fast Food","Sapphire Reserve","",""
"12/11/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","8.53","debit","Restaurants","Sapphire Reserve","",""
"12/11/2016","GoDaddy.com","DNH*GODADDY.COM","8.52","debit","Business Services","Sapphire Reserve","",""
"12/11/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"12/09/2016","Snack Corner","SQ *SHON'S SNACK CORNER","4.85","debit","Groceries","Freedom Unlimited","",""
"12/09/2016","Square P Ppd","Square Inc       161209P2PPD ID: 9424300002","69.05","credit","Income","Personal Checking","",""
"12/09/2016","Sam's Club","SAMS CLUB        PAYMENT    604599100253155 PPD ID: 9069872000","100.35","debit","Shopping","Personal Checking","",""
"12/09/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"12/09/2016","Your Statement","YOUR STORE CARD STATEMENT CREDIT","39.94","credit","Credit Card Payment","XXXXXXXXXX5324","",""
"12/09/2016","Automatic Thank You","AUTOMATIC PAYMENT - THANK YOU","100.35","credit","Credit Card Payment","XXXXXXXXXX1550","",""
"12/08/2016","Cafe Hunan","CAFE HUNAN 2","7.52","debit","Restaurants","Sapphire Reserve","",""
"12/07/2016","Fresh Market","SQ *FRESH MARKET","6.74","debit","Groceries","Sapphire Reserve","",""
"12/07/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","5.38","debit","Restaurants","Sapphire Reserve","",""
"12/06/2016","Steam Games","STEAMGAMES.COM4259522985","9.99","debit","Entertainment","Sapphire Reserve","",""
"12/06/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","8.53","debit","Restaurants","Sapphire Reserve","",""
"12/05/2016","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Car Mount TechMatte MagGrip Mi","9.29","debit","Shopping","XXXXXXXXXX5324","",""
"12/05/2016","Transfer from Personal Checking Account","PAYMENT","157.43","credit","Credit Card Payment","Personal Credit Account","",""
"12/05/2016","Transfer to Personal Credit Account","Bank of America Credit Card Bill Payment","157.43","debit","Credit Card Payment","Personal Checking Account","",""
"12/05/2016","Online Transfer Th","Online Transfer 5842528022 to Thi's Chase Checking Account #####","3000.00","debit","Transfer","Personal Checking","",""
"12/05/2016","Prometric Exam Fee","PROMETRIC   *EXAM FEE","111.56","debit","Fees & Charges","Sapphire Reserve","",""
"12/04/2016","Fresh Market","SQ *FRESH MARKET","4.99","debit","Groceries","Sapphire Reserve","",""
"12/02/2016","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Anker PowerLine 1ft Apple MFi","7.99","debit","Shopping","XXXXXXXXXX5324","",""
"12/02/2016","Starbucks","STARBUCKS CARD RELOAD","10.00","debit","Coffee Shops","Sapphire Reserve","",""
"12/02/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"12/02/2016","Snack Corner","SQ *SHON'S SNACK CORNER","6.48","debit","Groceries","Sapphire Reserve","",""
"12/02/2016","Century Theaters","69420 Century Me Rent       59394454        WEB ID: 1861072180","1303.47","debit","Mortgage & Rent","Personal Checking","",""
"12/01/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"12/01/2016","Meso Maya Preston","MESO MAYA-PRESTON FOREST","27.00","debit","Restaurants","Sapphire Reserve","",""
"12/01/2016","ATM Deposit","ATM CHECK DEPOSIT 12/01 6300 HARRY HINES BLVD DALLAS TX","56.64","credit","Income","Personal Checking","",""
"12/01/2016","Utswmc Dallas Tx","UTSWMC DALLAS TX PAYROLLPPD ID: 5756002868","3675.47","credit","Paycheck","Personal Checking","",""
"12/01/2016","Amazon","AMAZON           PAYMENT    604578109727532 PPD ID: 9069872000","15.90","debit","Shopping","Personal Checking","",""
"12/01/2016","Automatic Thank You","AUTOMATIC PAYMENT - THANK YOU","15.90","credit","Credit Card Payment","XXXXXXXXXX5324","",""
"11/30/2016","Raising Cane's","RAISING CANE'S #140 AUSTIN TX","19.14","debit","Restaurants","Personal Credit Account","",""
"11/30/2016","Sp Barracuda","SP * BARRACUDA, INC.","249.00","debit","Uncategorized","Sapphire Reserve","",""
"11/30/2016","Snack Corner","SQ *SHON'S SNACK CORNER","6.48","debit","Groceries","Sapphire Reserve","",""
"11/30/2016","New Act Online","NEW ACT ONLINE OFFER $45 CREDIT","45.00","credit","Credit Card Payment","XXXXXXXXXX1550","",""
"11/29/2016","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;Band of Brothers: E Company, 5","4.56","debit","Shopping","XXXXXXXXXX5324","",""
"11/29/2016","Valero","COLORADO CNTY VALERO COLUMBUS TX","14.13","debit","Gas & Fuel","Personal Credit Account","",""
"11/29/2016","Reliant Energy","RELIANT ENERGY","23.73","debit","Utilities","Sapphire Reserve","",""
"11/29/2016","Parchment Univ Docs","PARCHMENT - UNIV DOCS","10.00","debit","Uncategorized","Sapphire Reserve","",""
"11/29/2016","Estilos Salon","ESTILOS SALON","14.00","debit","Personal Care","Sapphire Reserve","",""
"11/27/2016","Best Buy","BEST BUY      00006031","414.45","debit","Electronics & Software","Sapphire Reserve","",""
"11/27/2016","Chick-Fil-A","CHICK-FIL-A #00319","24.98","debit","Fast Food","Sapphire Reserve","",""
"11/27/2016","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;HOBBYTIGER Hard Case Backpack","69.99","debit","Shopping","XXXXXXXXXX5324","",""
"11/27/2016","Amazon","AMAZON RETAIL SEATTLE WA&lt;br/&gt;InterDesign AFFIXX, Peel and S","5.21","debit","Shopping","XXXXXXXXXX5324","",""
"11/27/2016","Amazon","AMAZON RETAIL SEATTLE WA&lt;br/&gt;Zojirushi Classic Bento Vacuum","34.42","debit","Shopping","XXXXXXXXXX5324","",""
"11/27/2016","Amazon","AMAZON RETAIL SEATTLE WA&lt;br/&gt;Philips QG3364/49 Norelco Mult","19.99","debit","Shopping","XXXXXXXXXX5324","",""
"11/26/2016","Exxon","EXXONMOBIL 45927217 PALACIOS TX","40.00","debit","Gas & Fuel","Personal Credit Account","",""
"11/26/2016","Exxon","EXXONMOBIL 45927217 PALACIOS TX","39.44","debit","Gas & Fuel","Personal Credit Account","",""
"11/25/2016","McDonald's","MCDONALD'S F4757 SPRING TX","5.72","debit","Fast Food","Personal Credit Account","",""
"11/25/2016","Transfer from Personal Savings Account","Online Banking transfer from SAV 0538 Confirmation# 2405029536","143.00","credit","Transfer","Personal Checking Account","",""
"11/25/2016","Transfer to Personal Checking Account","Online Banking transfer to CHK 0525 Confirmation# 2405029536","143.00","debit","Transfer","Personal Savings Account","",""
"11/25/2016","Shell","SHELL OIL 57545783102","41.41","debit","Gas & Fuel","Sapphire Reserve","",""
"11/24/2016","Amazon","AMAZON RETAIL SEATTLE WA&lt;br/&gt;NEEWER Microphone Suspension B&lt;br/&gt;iRobot Roomba 880 Robotic Vac","463.49","debit","Shopping","XXXXXXXXXX5324","",""
"11/24/2016","College Transcript","COLLEGE TRANSCRIPT","9.00","debit","Tuition","Sapphire Reserve","",""
"11/24/2016","Snack Corner","SQ *SHON'S SNACK CORNER","3.45","debit","Groceries","Sapphire Reserve","",""
"11/24/2016","iTunes","APL* ITUNES.COM/BILL","108.24","debit","Music","Sapphire Reserve","",""
"11/23/2016","Uta Undergrad Admissio","UTA UNDERGRAD ADMISSIO","60.00","debit","Uncategorized","Sapphire Reserve","",""
"11/23/2016","Snack Corner","SQ *SHON'S SNACK CORNER","4.68","debit","Groceries","Sapphire Reserve","",""
"11/22/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"11/21/2016","McDonald's","MCDONALD'S F27958","2.05","debit","Fast Food","Sapphire Reserve","",""
"11/21/2016","Phillips Lowes Fuel","PHILLIPS 66 - LOWES FUEL","33.68","debit","Gas & Fuel","Sapphire Reserve","",""
"11/20/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"11/20/2016","iTunes","APL* ITUNES.COM/BILL","21.64","debit","Music","Sapphire Reserve","",""
"11/20/2016","McDonald's","MCDONALD'S F12340","2.59","debit","Fast Food","Sapphire Reserve","",""
"11/18/2016","AT&T","AT&T*BILL PAYMENT","324.89","debit","Home Phone","Sapphire Reserve","",""
"11/18/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"11/17/2016","Sam's Club","SAM'S CLUB 008248 DALLAS TX&lt;br/&gt;SAM'S CLUB CAFE","2.70","debit","Shopping","XXXXXXXXXX1550","",""
"11/17/2016","Sam's Club","SAM'S CLUB 008248 DALLAS TX&lt;br/&gt;SAM'S CLUB GAS STATION PURCHSE","24.29","debit","Shopping","XXXXXXXXXX1550","",""
"11/17/2016","Time Warner","TWC*TIME WARNER CABLE","42.91","debit","Television","Sapphire Reserve","",""
"11/17/2016","Cafe Hunan","CAFE HUNAN 2","7.52","debit","Restaurants","Sapphire Reserve","",""
"11/17/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"11/16/2016","Snack Corner","SQ *SHON'S SNACK CORNER","6.48","debit","Groceries","Sapphire Reserve","",""
"11/16/2016","Wharton County Junior","WHARTON COUNTY JUNIOR COL","10.00","debit","Tuition","Sapphire Reserve","",""
"11/16/2016","Starbucks","STARBUCKS CARD RELOAD","10.00","debit","Coffee Shops","Sapphire Reserve","",""
"11/16/2016","USPS","USPS 48227002600241422","0.47","debit","Shipping","Sapphire Reserve","",""
"11/16/2016","Square P Ppd","Square Inc       161116P2PPD ID: 9424300002","95.30","credit","Income","Personal Checking","",""
"11/15/2016","Uber.com","UBER TECHNOLOGIES INC","9.02","debit","Rental Car & Taxi","Sapphire Reserve","",""
"11/15/2016","Exxon","EXXONMOBIL    47237714","3.77","debit","Gas & Fuel","Sapphire Reserve","",""
"11/15/2016","Save Step Food Mart","SAVE STEP FOOD MART","3.78","debit","Groceries","Sapphire Reserve","",""
"11/15/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","8.53","debit","Restaurants","Sapphire Reserve","",""
"11/15/2016","Square P Ppd","Square Inc       161115P2PPD ID: 9424300002","564.05","credit","Income","Personal Checking","",""
"11/14/2016","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;elago? W2 Stand ?Black? - ?Sup&lt;br/&gt;Vietnamese Coffee Filter Phin,&lt;br/&gt;Braun Series 7 790cc-4 Electri","132.95","debit","Shopping","XXXXXXXXXX5324","",""
"11/13/2016","iTunes","APL* ITUNES.COM/BILL","4.32","debit","Music","Sapphire Reserve","",""
"11/13/2016","Uber.com","UBER TECHNOLOGIES INC","8.99","debit","Rental Car & Taxi","Sapphire Reserve","",""
"11/13/2016","Dairy Queen","DAIRY QUEEN #14464","4.10","debit","Fast Food","Sapphire Reserve","",""
"11/12/2016","Amazon","AMAZON MARKETPLACE SEATTLE WA&lt;br/&gt;USB Type C Cable CHOE 2Pack ?3&lt;br/&gt;USB Type-C, Anker Premium 5-Po","50.98","debit","Shopping","XXXXXXXXXX5324","",""
"11/11/2016","Inwood","INWOOD","9.07","debit","Gifts & Donations","Sapphire Reserve","",""
"11/10/2016","GoDaddy.com","DNH*GODADDY.COM","8.52","debit","Business Services","Sapphire Reserve","",""
"11/10/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"11/10/2016","Snack Corner","SQ *SHON'S SNACK CORNER","6.48","debit","Groceries","Sapphire Reserve","",""
"11/09/2016","Apple","SMU #127 GRADUATE APPL","75.00","debit","Electronics & Software","Sapphire Reserve","",""
"11/09/2016","Snack Corner","SQ *SHON'S SNACK CORNER","6.48","debit","Groceries","Sapphire Reserve","",""
"11/08/2016","Your Statement","YOUR STORE CARD STATEMENT CREDIT","0.84","credit","Credit Card Payment","XXXXXXXXXX5324","",""
"11/08/2016","Square P Ppd","Square Inc       161108P2PPD ID: 9424300002","1107.68","credit","Income","Personal Checking","",""
"11/08/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"11/08/2016","The Point","THE POINT AT PALACIOS","8.12","debit","Sporting Goods","Sapphire Reserve","",""
"11/08/2016","Snack Corner","SQ *SHON'S SNACK CORNER","6.48","debit","Groceries","Sapphire Reserve","",""
"11/07/2016","Account Maintenance Fee","Monthly Maintenance Fee","5.00","debit","Bank Fee","Personal Savings Account","",""
"11/07/2016","Chase Autopay Ppd","CHASE            AUTOPAYPPD ID: 4760039224","5.99","debit","Credit Card Payment","Personal Checking","",""
"11/07/2016","The Point","THE POINT AT PALACIOS","5.36","debit","Sporting Goods","Sapphire Reserve","",""
"11/06/2016","Transfer from CHASE COLLEGE","AUTOMATIC PAYMENT - THANK","5.99","credit","Credit Card Payment","Freedom","",""
"11/06/2016","Greyhound","GREYHOUND LINES CNP","102.60","debit","Travel","Sapphire Reserve","",""
"11/06/2016","Korean Bbq House","GEN KOREAN BBQ HOU","101.00","debit","Restaurants","Sapphire Reserve","",""
"11/06/2016","Ranch","99 RANCH #1105","3.58","debit","Groceries","Sapphire Reserve","",""
"11/06/2016","Pho Crimson","PHO CRIMSON","13.00","debit","Restaurants","Sapphire Reserve","",""
"11/04/2016","Square P Ppd","Square Inc       161104P2PPD ID: 9424300002","189.64","credit","Income","Personal Checking","",""
"11/04/2016","Snack Corner","SQ *SHON'S SNACK CORNER","5.00","debit","Groceries","Sapphire Reserve","",""
"11/03/2016","Square P Ppd","Square Inc       161103P2PPD ID: 9424300002","75.85","credit","Income","Personal Checking","",""
"11/03/2016","Sam's Club","SAMSCLUB #8248","25.31","debit","Shopping","Sapphire Reserve","",""
"11/03/2016","Sam's Club","SAMS CLUB #8248","324.84","debit","Food & Dining","Sapphire Reserve","",""
"11/02/2016","Amazon","AMAZON RETAIL SEATTLE WA&lt;br/&gt;Ferrero Rocher Hazelnut Chocol","16.74","debit","Shopping","XXXXXXXXXX5324","",""
"11/02/2016","Snack Corner","SQ *SHON'S SNACK CORNER","6.48","debit","Groceries","Sapphire Reserve","",""
"11/02/2016","Starbucks","STARBUCKS CARD RELOAD","10.00","debit","Coffee Shops","Sapphire Reserve","",""
"11/02/2016","Century Theaters","69420 Century Me Rent       58142191        WEB ID: 1861072180","1104.77","debit","Mortgage & Rent","Personal Checking","",""
"11/01/2016","Amazon Kindle","Amazon Services-Kindle","38.06","debit","Books","Sapphire Reserve","",""
"11/01/2016","Estilos Salon","ESTILOS SALON","14.00","debit","Personal Care","Sapphire Reserve","",""
"11/01/2016","Wal-Mart","MURPHY6967ATWALMRT","29.75","debit","Shopping","Sapphire Reserve","",""
"11/01/2016","Starbucks","STARBUCKS CARD RELOAD","10.00","debit","Coffee Shops","Sapphire Reserve","",""
"11/01/2016","Utswmc Dallas Tx","UTSWMC DALLAS TX PAYROLLPPD ID: 5756002868","3675.47","credit","Paycheck","Personal Checking","",""
"10/31/2016","Annual Fee","ANNUAL FEE C_FEES","39.00","debit","Fees & Charges","Personal Credit Account","",""
"10/31/2016","AMC","AMC BARTON CREEK #0802","22.72","debit","Movies & DVDs","Sapphire Reserve","",""
"10/31/2016","Greyhound","GREYHOUND LINES CNP","138.00","debit","Travel","Sapphire Reserve","",""
"10/31/2016","Pho Please","SQ *PHO PLEASE","59.75","debit","Restaurants","Sapphire Reserve","",""
"10/31/2016","Online Transfer Th","Online Transfer 5761672350 to Thi's Chase Checking Account #####","1800.00","debit","Transfer","Personal Checking","",""
"10/31/2016","Square P Ppd","Square Inc       161029P2PPD ID: 9424300002","29.66","credit","Income","Personal Checking","",""
"10/30/2016","Fresh Market","SQ *FRESH MARKET","4.35","debit","Groceries","Sapphire Reserve","",""
"10/30/2016","Cheesecake Factory","CHEESECAKE AUSTIN","42.00","debit","Restaurants","Sapphire Reserve","",""
"10/30/2016","Downtown Jos","DOWNTOWN JOS","28.00","debit","Restaurants","Sapphire Reserve","",""
"10/30/2016","Kome","KOME SUSHI KITCHEN","27.00","debit","Restaurants","Sapphire Reserve","",""
"10/30/2016","Exxon","EXXONMOBIL    47957121","27.43","debit","Gas & Fuel","Sapphire Reserve","",""
"10/30/2016","McDonald's","MCDONALD'S F26418","7.66","debit","Fast Food","Sapphire Reserve","",""
"10/28/2016","Snack Corner","SQ *SHON'S SNACK CORNER","6.48","debit","Groceries","Sapphire Reserve","",""
"10/27/2016","Chase Ending In","Payment to Chase card ending in2834","6726.78","debit","Financial","Personal Checking","",""
"10/27/2016","Transfer from CHASE COLLEGE","Payment Thank You - Web","6726.78","credit","Credit Card Payment","Sapphire Reserve","",""
"10/27/2016","Snack Corner","SQ *SHON'S SNACK CORNER","6.48","debit","Groceries","Sapphire Reserve","",""
"10/27/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","5.38","debit","Restaurants","Sapphire Reserve","",""
"10/27/2016","Reliant Energy","RELIANT ENERGY","24.30","debit","Utilities","Sapphire Reserve","",""
"10/26/2016","Century Theaters","69420 Century Me Rent       57750551        WEB ID: 1861072180","200.00","debit","Mortgage & Rent","Personal Checking","",""
"10/25/2016","Transfer from Personal Savings Account","Online scheduled payment","47.00","credit","Credit Card Payment","CORP Account - Business Credit Account 2","",""
"10/25/2016","Transfer to CORP Account - Business Credit Account 2","Online scheduled payment to CRD 1669 Confirmation# 1939334494","47.00","debit","Credit Card Payment","Personal Savings Account","",""
"10/25/2016","Dalat Restaurant & Bar","DALAT RESTAURANT AND B","12.00","debit","Restaurants","Sapphire Reserve","",""
"10/25/2016","Snack Corner","SQ *SHON'S SNACK CORNER","4.67","debit","Groceries","Sapphire Reserve","",""
"10/25/2016","IHOP","IHOP 1365     00013656","10.00","debit","Restaurants","Sapphire Reserve","",""
"10/25/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","7.75","debit","Restaurants","Sapphire Reserve","",""
"10/25/2016","Turner Falls Park","TURNER FALLS PARK","13.14","debit","Home","Sapphire Reserve","",""
"10/24/2016","Turner Falls Trading","SQ *TURNER FALLS TRADING","1.96","debit","Home","Sapphire Reserve","",""
"10/24/2016","Riotgam Lol Ln","RiotGam*LoL LN6W7DQFUE","20.00","debit","Amusement","Sapphire Reserve","",""
"10/24/2016","Square P Ppd","Square Inc       161022P2PPD ID: 9424300002","43.76","credit","Income","Personal Checking","",""
"10/23/2016","Cafe Hunan","CAFE HUNAN 2","7.52","debit","Restaurants","Sapphire Reserve","",""
"10/23/2016","Sam's Club","SAMS CLUB #8248","34.39","debit","Food & Dining","Sapphire Reserve","",""
"10/23/2016","H Mart","H MART CARROLTON","160.98","debit","Groceries","Sapphire Reserve","",""
"10/23/2016","Sam's Club","SAMSCLUB 8248 GAS","5.01","debit","Shopping","Sapphire Reserve","",""
"10/22/2016","Sam's Club","SAMS CLUB.COM 006279 BENTONVILLE AR&lt;br/&gt;SAM'S CLUB PURCHASE","118.36","debit","Shopping","XXXXXXXXXX1550","",""
"10/21/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","8.53","debit","Restaurants","Sapphire Reserve","",""
"10/21/2016","Riotgam Lol Ln","RiotGam*LoL LN6X2FN3U7","5.00","debit","Electronics & Software","Sapphire Reserve","",""
"10/20/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"10/20/2016","Transfer to CREDIT CARD","CHASE            AUTOPAYPPD ID: 4760039224","1376.17","debit","Credit Card Payment","Personal Checking","",""
"10/19/2016","Transfer from CHASE COLLEGE","AUTOMATIC PAYMENT - THANK","1376.17","credit","Credit Card Payment","Sapphire Reserve","",""
"10/18/2016","Sam's Club","SAMSCLUB #8248","141.78","debit","Shopping","Sapphire Reserve","",""
"10/18/2016","AT&T","AT&T*BILL PAYMENT","298.22","debit","Home Phone","Sapphire Reserve","",""
"10/18/2016","Wal-Mart","WM SUPERCENTER #5889","12.89","debit","Shopping","Sapphire Reserve","",""
"10/18/2016","Greyhound","GREYHOUND F/S #6004","1.94","debit","Travel","Sapphire Reserve","",""
"10/18/2016","Sam's Club","SAMSCLUB #8248 C_PURCHASE","47.00","debit","Entertainment","Business Credit Account","",""
"10/17/2016","Square P Ppd","Square Inc       161015P2PPD ID: 9424300002","163.38","credit","Income","Personal Checking","",""
"10/17/2016","Greyhound","GREYHOUND LINES 6860","20.00","debit","Travel","Sapphire Reserve","",""
"10/16/2016","USPS","USPS 48227002600241422","3.97","debit","Shipping","Sapphire Reserve","",""
"10/16/2016","Box Studio Movie","021BOX STUDIO MOVIE GRIL","9.75","debit","Entertainment","Sapphire Reserve","",""
"10/16/2016","Dairy Queen","DAIRY QUEEN #14464","17.17","debit","Fast Food","Sapphire Reserve","",""
"10/16/2016","Fbv Studio Movie","021FBV STUDIO MOVIE GRIL","19.00","debit","Entertainment","Sapphire Reserve","",""
"10/16/2016","Dfw Airport Parking","DFW AIRPORT PARKING","9.00","debit","Parking","Sapphire Reserve","",""
"10/16/2016","Dairy Queen","DAIRY QUEEN #14464","3.24","debit","Fast Food","Sapphire Reserve","",""
"10/16/2016","AT&T","ATT*BILL PAYMENT","67.40","debit","Home Phone","Sapphire Reserve","",""
"10/14/2016","AT&T","VESTA  *AT&T","33.08","debit","Mobile Phone","Sapphire Reserve","",""
"10/14/2016","Inwood","INWOOD","4.75","debit","Gifts & Donations","Sapphire Reserve","",""
"10/14/2016","Square P Ppd","Square Inc       161014P2PPD ID: 9424300002","212.58","credit","Income","Personal Checking","",""
"10/13/2016","Park's Hamburgers","SQ *PARK'S HAMBURGERS","3.88","debit","Restaurants","Sapphire Reserve","",""
"10/13/2016","AT&T","AT&T K006 9968 ESTOR","292.26","debit","Home Phone","Sapphire Reserve","",""
"10/13/2016","Wells Fargo Ppd","WELLS FARGO      DDA TO DDAPPD ID: INTFITROCS","4779.12","credit","Income","Personal Checking","",""
"10/13/2016","Wells Fargo Des","WELLS FARGO DES:DDA TO DDA ID:F2EV4FQ3G9 INDN:HUYNH VU CO ID:INTFITROCS PPD","500.00","credit","Paycheck","Personal Savings Account","",""
